Loan_ID,Applicant_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Tenure_Months,Loan_Purpose,Loan_Grade,EMI_Amount,Issue_Date,Debt_To_Income_%,Loan_Status,Issue_Year,Issue_Month,Issue_Quarter,DTI_Risk,Loan_Size
LN000020,APP11950,Auto Loan,247000.0,16.12,72,Business Expansion,E,5374.22,2025-07-15,35.28,Active,2025,7,3,High Risk,Medium
LN000021,APP15807,Personal Loan,390000.0,14.82,36,Business Expansion,D,13485.13,2023-11-26,17.74,Active,2023,11,4,Low Risk,Medium
LN000022,APP10576,Gold Loan,59000.0,14.12,6,Wedding,A,10242.25,2026-02-17,5.71,Active,2026,2,1,Low Risk,Small
LN000023,APP07195,Education Loan,200000.0,15.79,84,Education,D,3948.53,2026-03-01,8.53,Active,2026,3,1,Low Risk,Medium
LN000024,APP07871,Education Loan,375000.0,16.18,48,Business Expansion,C,10662.21,2025-10-02,7.96,Active,2025,10,4,Low Risk,Medium
LN000025,APP18012,Personal Loan,433000.0,16.44,60,Debt Consolidation,E,10631.22,2025-02-16,16.76,Active,2025,2,1,Low Risk,Medium
LN000026,APP05540,Business Loan,778000.0,14.51,12,Vehicle Purchase,C,70041.21,2023-10-28,60.35,Active,2023,10,4,Very High Risk,Large
LN000027,APP08837,Auto Loan,407000.0,18.98,72,Business Expansion,F,9509.67,2023-12-22,39.84,Active,2023,12,4,High Risk,Medium
LN000028,APP02323,Gold Loan,217000.0,17.71,12,Wedding,E,19864.62,2025-10-02,37.03,Closed,2025,10,4,High Risk,Medium
LN000029,APP15320,Personal Loan,263000.0,15.76,12,Debt Consolidation,D,23832.36,2024-02-20,39.56,Active,2024,2,1,High Risk,Medium
LN000030,APP11150,Personal Loan,162000.0,15.17,12,Debt Consolidation,A,14634.85,2024-03-19,23.55,Active,2024,3,1,Moderate Risk,Medium
LN000031,APP17471,Education Loan,234000.0,16.86,24,Debt Consolidation,D,11553.75,2025-09-15,46.3,Active,2025,9,3,High Risk,Medium
LN000032,APP17163,Business Loan,690000.0,15.44,48,Education,E,19357.46,2025-03-21,50.77,Active,2025,3,1,Very High Risk,Large
LN000033,APP16400,Education Loan,218000.0,15.72,24,Wedding,B,10644.82,2025-10-21,25.55,Closed,2025,10,4,Moderate Risk,Medium
LN000034,APP09775,Personal Loan,484000.0,17.39,36,Medical Emergency,D,17350.01,2024-08-21,28.74,Active,2024,8,3,Moderate Risk,Medium
LN000035,APP18800,Home Loan,4000000.0,16.64,360,Medical Emergency,C,55859.3,2025-02-07,59.22,Closed,2025,2,1,Very High Risk,Very Large
LN000036,APP08067,Personal Loan,456000.0,14.42,12,Medical Emergency,B,41033.09,2026-03-12,32.95,Active,2026,3,1,Moderate Risk,Medium
LN000037,APP11359,Education Loan,872000.0,14.82,48,Investment,D,24188.92,2023-10-21,25.97,Active,2023,10,4,Moderate Risk,Large
LN000038,APP00850,Education Loan,797000.0,17.02,60,Education,E,19816.07,2026-02-28,31.48,Active,2026,2,1,Moderate Risk,Large
LN000039,APP18012,Business Loan,312000.0,15.45,48,Debt Consolidation,E,8754.53,2024-03-05,13.8,Active,2024,3,1,Low Risk,Medium
LN000040,APP09842,Auto Loan,545000.0,18.12,48,Home Renovation,E,16043.57,2025-08-29,18.03,Active,2025,8,3,Low Risk,Large
LN000041,APP09525,Home Loan,509000.0,16.44,360,Business Expansion,E,7025.69,2025-06-19,20.29,Active,2025,6,2,Moderate Risk,Large
LN000042,APP02638,Personal Loan,218000.0,13.66,36,Medical Emergency,B,7414.77,2023-09-20,7.58,Active,2023,9,3,Low Risk,Medium
LN000043,APP08412,Auto Loan,420000.0,18.41,48,Investment,F,12427.66,2024-03-22,33.88,Active,2024,3,1,Moderate Risk,Medium
LN000044,APP06078,Gold Loan,115000.0,14.3,18,Education,C,7136.42,2025-12-07,17.2,Closed,2025,12,4,Low Risk,Medium
LN000045,APP07020,Home Loan,3104000.0,15.14,240,Medical Emergency,D,41194.6,2024-09-03,44.02,Closed,2024,9,3,High Risk,Very Large
LN000046,APP10542,Gold Loan,70000.0,16.95,24,Home Purchase,C,3459.28,2023-06-16,8.8,Active,2023,6,2,Low Risk,Small
LN000047,APP11556,Gold Loan,182000.0,14.8,6,Home Purchase,C,31656.1,2025-03-31,30.4,Closed,2025,3,1,Moderate Risk,Medium
LN000048,APP00470,Home Loan,790000.0,17.03,180,Medical Emergency,E,12174.93,2026-02-28,54.71,Active,2026,2,1,Very High Risk,Large
LN000049,APP18596,Gold Loan,109000.0,17.7,12,Wedding,E,9977.56,2023-08-02,8.61,Active,2023,8,3,Low Risk,Medium
LN000050,APP01790,Auto Loan,762000.0,15.94,60,Home Purchase,D,18506.08,2024-03-15,30.69,Active,2024,3,1,Moderate Risk,Large
LN000051,APP09515,Gold Loan,179000.0,16.79,6,Education,D,31311.21,2023-09-03,58.28,Active,2023,9,3,Very High Risk,Medium
LN000052,APP01137,Home Loan,952000.0,17.56,240,Investment,D,14370.77,2026-04-04,16.44,Active,2026,4,2,Low Risk,Large
LN000053,APP14277,Home Loan,2009000.0,18.06,300,Business Expansion,E,30581.57,2024-03-23,68.6,Active,2024,3,1,Very High Risk,Very Large
LN000054,APP17746,Auto Loan,416000.0,16.48,60,Business Expansion,C,10222.71,2025-05-26,31.2,Closed,2025,5,2,Moderate Risk,Medium
LN000055,APP18667,Business Loan,368000.0,17.42,36,Education,E,13197.25,2026-01-06,47.37,Active,2026,1,1,High Risk,Medium
LN000056,APP15261,Business Loan,1126000.0,16.54,48,Home Renovation,D,32223.42,2024-01-30,30.44,Closed,2024,1,1,Moderate Risk,Very Large
LN000057,APP15348,Auto Loan,926000.0,16.47,24,Home Renovation,D,45548.07,2024-10-28,65.17,Closed,2024,10,4,Very High Risk,Large
LN000058,APP00977,Business Loan,1869000.0,16.32,60,Education,B,44620.5,2024-04-06,32.46,Active,2024,4,2,Moderate Risk,Very Large
LN000059,APP19227,Auto Loan,480000.0,15.49,36,Medical Emergency,C,16754.77,2025-10-18,12.16,Active,2025,10,4,Low Risk,Medium
LN000060,APP07447,Personal Loan,88000.0,17.67,12,Home Purchase,D,8054.03,2024-11-15,12.42,Closed,2024,11,4,Low Risk,Small
LN000061,APP17527,Education Loan,254000.0,16.49,36,Home Purchase,D,8991.45,2024-06-05,25.42,Active,2024,6,2,Moderate Risk,Medium
LN000062,APP17753,Home Loan,2136000.0,15.89,360,Wedding,C,28534.62,2026-02-06,45.36,Active,2026,2,1,High Risk,Very Large
LN000063,APP19095,Home Loan,1022000.0,15.28,360,Vehicle Purchase,D,13151.74,2024-10-07,30.13,Active,2024,10,4,Moderate Risk,Very Large
LN000064,APP18815,Home Loan,2749000.0,15.82,360,Wedding,E,36568.64,2025-05-12,43.21,Active,2025,5,2,High Risk,Very Large
LN000065,APP14074,Gold Loan,96000.0,14.04,24,Business Expansion,A,4611.05,2025-10-19,3.76,Active,2025,10,4,Low Risk,Small
LN000066,APP10238,Home Loan,807000.0,16.57,120,Investment,D,13806.36,2024-11-28,44.21,Active,2024,11,4,High Risk,Large
LN000067,APP09906,Business Loan,566000.0,15.11,36,Education,D,19651.08,2024-06-13,42.45,Active,2024,6,2,High Risk,Large
LN000068,APP19596,Gold Loan,82000.0,17.17,18,Wedding,D,5199.69,2026-04-18,17.79,Closed,2026,4,2,Low Risk,Small
LN000069,APP19369,Gold Loan,59000.0,17.45,24,Investment,E,2929.87,2025-03-21,7.53,Active,2025,3,1,Low Risk,Small
LN000070,APP09795,Personal Loan,234000.0,17.29,24,Debt Consolidation,D,11602.12,2024-12-24,20.7,Active,2024,12,4,Moderate Risk,Medium
LN000071,APP03145,Personal Loan,379000.0,16.32,12,Debt Consolidation,D,34351.14,2024-06-24,24.37,Active,2024,6,2,Moderate Risk,Medium
LN000072,APP14246,Auto Loan,487000.0,17.16,72,Medical Emergency,F,10877.39,2023-06-20,18.84,Closed,2023,6,2,Low Risk,Medium
LN000073,APP11884,Auto Loan,915000.0,18.56,36,Debt Consolidation,F,33337.05,2024-07-30,55.21,Active,2024,7,3,Very High Risk,Large
LN000074,APP16297,Business Loan,831000.0,12.91,12,Medical Emergency,B,74187.57,2025-06-17,59.99,Closed,2025,6,2,Very High Risk,Large
LN000075,APP19008,Business Loan,362000.0,18.47,12,Home Purchase,F,33269.18,2024-10-15,117.18,Active,2024,10,4,Very High Risk,Medium
LN000076,APP10987,Personal Loan,489000.0,16.38,12,Debt Consolidation,D,44455.37,2025-10-18,49.26,Active,2025,10,4,High Risk,Medium
LN000077,APP08021,Personal Loan,492000.0,15.36,24,Education,C,23939.67,2024-08-17,22.37,Active,2024,8,3,Moderate Risk,Medium
LN000078,APP19392,Home Loan,1238000.0,16.05,180,Investment,C,18225.69,2024-12-16,54.52,Active,2024,12,4,Very High Risk,Very Large
LN000079,APP15925,Education Loan,386000.0,16.82,84,Wedding,F,7848.12,2024-06-28,21.16,Closed,2024,6,2,Moderate Risk,Medium
LN000080,APP05077,Personal Loan,412000.0,15.76,48,Education,D,11625.62,2024-09-21,18.5,Active,2024,9,3,Low Risk,Medium
LN000081,APP01202,Personal Loan,65000.0,14.91,12,Vehicle Purchase,C,5864.03,2025-07-09,3.2,Active,2025,7,3,Low Risk,Small
LN000082,APP09922,Business Loan,206000.0,16.24,36,Investment,B,7266.78,2024-04-18,7.31,Active,2024,4,2,Low Risk,Medium
LN000083,APP13833,Personal Loan,431000.0,13.81,12,Vehicle Purchase,C,38659.73,2024-02-22,20.83,Active,2024,2,1,Moderate Risk,Medium
LN000084,APP02778,Personal Loan,129000.0,15.8,36,Investment,C,4522.53,2025-10-26,9.5,Active,2025,10,4,Low Risk,Medium
LN000085,APP15412,Gold Loan,216000.0,14.99,18,Medical Emergency,C,13474.1,2023-09-03,17.15,Active,2023,9,3,Low Risk,Medium
LN000086,APP18219,Gold Loan,111000.0,17.64,24,Investment,F,5522.29,2025-10-18,9.94,Active,2025,10,4,Low Risk,Medium
LN000087,APP18761,Education Loan,209000.0,12.67,24,Investment,A,9903.88,2023-11-29,6.37,Active,2023,11,4,Low Risk,Medium
LN000088,APP14418,Personal Loan,279000.0,18.07,24,Vehicle Purchase,F,13938.26,2024-08-04,21.48,Closed,2024,8,3,Moderate Risk,Medium
LN000089,APP02760,Business Loan,847000.0,16.26,12,Medical Emergency,D,76953.29,2024-09-16,163.73,Active,2024,9,3,Very High Risk,Large
LN000090,APP18608,Auto Loan,534000.0,16.25,48,Education,D,15202.17,2024-03-24,14.5,Active,2024,3,1,Low Risk,Large
LN000091,APP13408,Home Loan,3417000.0,16.96,360,Investment,E,48604.38,2025-08-17,66.8,Active,2025,8,3,Very High Risk,Very Large
LN000092,APP05433,Home Loan,2302000.0,17.32,120,Home Renovation,D,40476.21,2024-04-03,37.25,Closed,2024,4,2,High Risk,Very Large
LN000093,APP02817,Personal Loan,426000.0,15.93,24,Business Expansion,C,20844.04,2025-10-28,46.85,Active,2025,10,4,High Risk,Medium
LN000094,APP06994,Education Loan,323000.0,18.68,36,Debt Consolidation,F,11787.7,2025-04-22,16.11,Active,2025,4,2,Low Risk,Medium
LN000095,APP08069,Personal Loan,55000.0,16.32,60,Home Renovation,D,1343.93,2025-12-19,3.13,Active,2025,12,4,Low Risk,Small
LN000096,APP15960,Personal Loan,393000.0,16.53,48,Debt Consolidation,D,11244.69,2024-12-22,14.76,Active,2024,12,4,Low Risk,Medium
LN000097,APP07523,Education Loan,393000.0,18.61,48,Wedding,E,11670.02,2024-02-26,23.02,Active,2024,2,1,Moderate Risk,Medium
LN000098,APP01569,Gold Loan,84000.0,14.33,12,Home Purchase,B,7555.17,2023-12-28,8.68,Active,2023,12,4,Low Risk,Small
LN000099,APP04420,Auto Loan,382000.0,16.88,60,Vehicle Purchase,D,9469.05,2024-05-01,22.68,Active,2024,5,2,Moderate Risk,Medium
LN000100,APP00929,Education Loan,411000.0,15.42,36,Home Purchase,C,14332.13,2024-08-23,21.18,Active,2024,8,3,Moderate Risk,Medium
LN000101,APP19172,Business Loan,913000.0,15.29,12,Home Purchase,C,82530.83,2023-06-03,87.28,Active,2023,6,2,Very High Risk,Large
LN000102,APP12018,Education Loan,849000.0,15.84,60,Home Purchase,D,20573.92,2023-10-30,32.8,Active,2023,10,4,Moderate Risk,Large
LN000103,APP13938,Auto Loan,470000.0,15.62,72,Business Expansion,B,10097.09,2025-02-13,21.17,Active,2025,2,1,Moderate Risk,Medium
LN000104,APP19720,Auto Loan,773000.0,16.78,72,Investment,C,17101.51,2024-09-29,26.51,Active,2024,9,3,Moderate Risk,Large
LN000105,APP11531,Auto Loan,595000.0,16.47,36,Medical Emergency,D,21056.76,2026-03-11,38.17,Closed,2026,3,1,High Risk,Large
LN000106,APP18838,Personal Loan,277000.0,16.09,24,Investment,E,13574.7,2025-05-14,24.96,Active,2025,5,2,Moderate Risk,Medium
LN000107,APP18670,Personal Loan,227000.0,14.97,24,Vehicle Purchase,D,11003.23,2024-10-18,17.26,Active,2024,10,4,Low Risk,Medium
LN000108,APP08077,Business Loan,150000.0,17.6,24,Education,E,7459.66,2025-08-27,9.79,Closed,2025,8,3,Low Risk,Medium
LN000109,APP07633,Gold Loan,37000.0,17.61,6,Education,E,6487.25,2025-05-29,21.19,Active,2025,5,2,Moderate Risk,Small
LN000110,APP00523,Personal Loan,375000.0,15.61,60,Medical Emergency,E,9041.75,2025-07-13,11.73,Active,2025,7,3,Low Risk,Medium
LN000111,APP17420,Education Loan,921000.0,16.23,48,Home Renovation,B,26210.02,2024-07-28,20.1,Active,2024,7,3,Moderate Risk,Large
LN000112,APP18867,Personal Loan,331000.0,15.04,24,Wedding,D,16055.37,2025-01-15,18.4,Active,2025,1,1,Low Risk,Medium
LN000113,APP03914,Home Loan,415000.0,17.18,360,Investment,C,9794.01,2024-05-05,15.49,Active,2024,5,2,Low Risk,Medium
LN000114,APP18201,Business Loan,1294000.0,17.76,24,Wedding,E,64451.83,2025-12-30,116.54,Active,2025,12,4,Very High Risk,Very Large
LN000115,APP14272,Home Loan,2333000.0,18.79,180,Wedding,F,38904.59,2025-02-03,66.64,Closed,2025,2,1,Very High Risk,Very Large
LN000116,APP19201,Gold Loan,113000.0,16.98,24,Debt Consolidation,E,5585.89,2025-10-26,16.36,Active,2025,10,4,Low Risk,Medium
LN000117,APP01652,Gold Loan,415000.0,15.25,24,Wedding,C,11665.32,2024-06-01,13.6,Active,2024,6,2,Low Risk,Medium
LN000118,APP14767,Home Loan,3447000.0,15.69,360,Wedding,C,45493.14,2023-12-07,77.42,Closed,2023,12,4,Very High Risk,Very Large
LN000119,APP15816,Auto Loan,229000.0,16.81,72,Home Renovation,D,5070.12,2023-08-15,16.76,Active,2023,8,3,Low Risk,Medium
LN000120,APP03524,Auto Loan,687000.0,17.7,36,Home Renovation,E,24733.43,2023-06-22,27.3,Active,2023,6,2,Moderate Risk,Large
LN000121,APP15386,Auto Loan,456000.0,16.32,60,Home Renovation,D,11431.08,2024-11-25,13.2,Active,2024,11,4,Low Risk,Medium
LN000122,APP19753,Gold Loan,37000.0,14.67,24,Debt Consolidation,D,1788.21,2026-01-04,1.97,Active,2026,1,1,Low Risk,Small
LN000123,APP11928,Education Loan,173000.0,17.01,48,Business Expansion,D,4992.82,2025-07-19,8.06,Closed,2025,7,3,Low Risk,Medium
LN000124,APP14806,Business Loan,1635000.0,17.92,36,Business Expansion,D,59043.57,2024-10-02,59.31,Active,2024,10,4,Very High Risk,Very Large
LN000125,APP13568,Education Loan,147000.0,15.14,36,Debt Consolidation,D,5105.89,2024-05-29,5.65,Closed,2024,5,2,Low Risk,Medium
LN000126,APP08152,Education Loan,213000.0,17.4,36,Education,D,7636.5,2025-07-24,9.78,Closed,2025,7,3,Low Risk,Medium
LN000127,APP10027,Education Loan,933000.0,18.48,48,Debt Consolidation,E,27641.44,2026-01-03,33.8,Closed,2026,1,1,Moderate Risk,Large
LN000128,APP13600,Business Loan,221000.0,15.95,24,Wedding,E,10815.57,2023-06-23,40.27,Active,2023,6,2,High Risk,Medium
LN000129,APP10284,Auto Loan,291000.0,17.7,60,Wedding,F,7342.08,2024-09-06,34.0,Closed,2024,9,3,Moderate Risk,Medium
LN000130,APP19653,Gold Loan,91000.0,14.22,24,Home Renovation,C,4378.64,2026-04-19,12.01,Active,2026,4,2,Low Risk,Small
LN000131,APP12223,Auto Loan,811000.0,17.1,24,Medical Emergency,D,40136.66,2026-02-08,44.41,Active,2026,2,1,High Risk,Large
LN000132,APP01843,Business Loan,921000.0,14.22,12,Education,C,82789.3,2026-01-07,65.92,Active,2026,1,1,Very High Risk,Large
LN000133,APP17229,Home Loan,4280000.0,14.86,360,Medical Emergency,D,53639.35,2025-09-11,64.13,Active,2025,9,3,Very High Risk,Very Large
LN000134,APP15022,Gold Loan,42000.0,17.1,18,Vehicle Purchase,D,2661.86,2024-05-26,10.46,Active,2024,5,2,Low Risk,Small
LN000135,APP11341,Gold Loan,76000.0,15.27,24,Home Renovation,D,3694.74,2026-04-11,19.97,Closed,2026,4,2,Low Risk,Small
LN000136,APP04761,Business Loan,1529000.0,15.38,12,Medical Emergency,C,138279.27,2025-04-29,161.08,Active,2025,4,2,Very High Risk,Very Large
LN000137,APP01339,Auto Loan,449000.0,16.2,36,Education,D,15829.88,2024-02-08,52.97,Active,2024,2,1,Very High Risk,Medium
LN000138,APP03980,Business Loan,449000.0,16.59,48,Vehicle Purchase,D,12860.87,2024-11-03,21.9,Active,2024,11,4,Moderate Risk,Medium
LN000139,APP18523,Personal Loan,71000.0,15.96,60,Business Expansion,E,1725.07,2024-10-31,5.25,Closed,2024,10,4,Low Risk,Small
LN000140,APP07916,Home Loan,1911000.0,14.65,240,Business Expansion,C,24671.07,2025-12-22,69.57,Active,2025,12,4,Very High Risk,Very Large
LN000141,APP00826,Auto Loan,757000.0,18.21,60,Investment,F,19309.41,2024-08-26,43.08,Active,2024,8,3,High Risk,Large
LN000142,APP07601,Home Loan,2446000.0,16.82,360,Medical Emergency,E,34514.79,2025-01-29,73.31,Active,2025,1,1,Very High Risk,Very Large
LN000143,APP01641,Home Loan,518000.0,15.7,300,Wedding,D,6917.25,2026-01-06,17.02,Active,2026,1,1,Low Risk,Large
LN000144,APP15150,Auto Loan,852000.0,16.72,36,Vehicle Purchase,D,30257.53,2024-06-16,53.32,Active,2024,6,2,Very High Risk,Large
LN000145,APP10625,Personal Loan,286000.0,16.17,48,Wedding,C,8130.24,2024-12-07,14.32,Active,2024,12,4,Low Risk,Medium
LN000146,APP11501,Home Loan,2995000.0,15.65,120,Debt Consolidation,B,49518.88,2023-11-17,78.47,Active,2023,11,4,Very High Risk,Very Large
LN000147,APP00387,Home Loan,502000.0,16.3,180,Debt Consolidation,E,7478.15,2023-06-03,21.97,Active,2023,6,2,Moderate Risk,Large
LN000148,APP18581,Auto Loan,212000.0,15.72,24,Debt Consolidation,D,10351.84,2025-07-27,18.64,Active,2025,7,3,Low Risk,Medium
LN000149,APP19184,Personal Loan,363000.0,15.97,36,Vehicle Purchase,B,12756.63,2023-09-04,7.25,Active,2023,9,3,Low Risk,Medium
LN000150,APP12813,Gold Loan,42000.0,15.9,18,Home Renovation,D,2637.99,2024-09-13,1.76,Active,2024,9,3,Low Risk,Small
LN000151,APP16995,Gold Loan,143000.0,17.73,18,Vehicle Purchase,E,9105.83,2024-08-21,13.86,Active,2024,8,3,Low Risk,Medium
LN000152,APP13764,Education Loan,422000.0,15.44,60,Business Expansion,B,10137.08,2024-12-21,7.18,Active,2024,12,4,Low Risk,Medium
LN000153,APP10771,Education Loan,444000.0,18.27,36,Wedding,F,16111.87,2025-09-04,50.03,Active,2025,9,3,Very High Risk,Medium
LN000154,APP17744,Education Loan,526000.0,16.94,48,Home Renovation,E,15161.43,2024-03-14,40.23,Active,2024,3,1,High Risk,Large
LN000155,APP01316,Personal Loan,235000.0,14.4,24,Home Purchase,C,11327.49,2023-06-10,9.11,Active,2023,6,2,Low Risk,Medium
LN000156,APP11715,Education Loan,518000.0,15.39,84,Home Purchase,D,10109.4,2025-02-11,24.26,Active,2025,2,1,Moderate Risk,Large
LN000157,APP19229,Personal Loan,400000.0,15.93,36,Medical Emergency,D,14048.99,2025-05-31,21.94,Active,2025,5,2,Moderate Risk,Medium
LN000158,APP05039,Business Loan,139000.0,16.48,12,Home Purchase,E,12643.18,2025-08-27,23.27,Active,2025,8,3,Moderate Risk,Medium
LN000159,APP02244,Education Loan,368000.0,16.74,84,Medical Emergency,E,7465.18,2025-12-15,14.32,Active,2025,12,4,Low Risk,Medium
LN000160,APP06569,Business Loan,700000.0,17.11,36,Debt Consolidation,D,24995.25,2024-11-01,38.63,Active,2024,11,4,High Risk,Large
LN000161,APP02625,Home Loan,4545000.0,16.69,300,Vehicle Purchase,E,64232.31,2023-09-01,67.44,Active,2023,9,3,Very High Risk,Very Large
LN000162,APP14810,Education Loan,399000.0,16.38,84,Wedding,C,8011.56,2025-10-03,24.36,Active,2025,10,4,Moderate Risk,Medium
LN000163,APP08545,Business Loan,1354000.0,16.32,36,Debt Consolidation,B,47009.82,2025-09-03,29.11,Active,2025,9,3,Moderate Risk,Very Large
LN000164,APP08904,Gold Loan,22000.0,16.05,6,Debt Consolidation,C,3840.21,2025-04-02,3.9,Active,2025,4,2,Low Risk,Small
LN000165,APP19444,Gold Loan,250000.0,16.49,6,Investment,E,43693.45,2023-11-28,83.83,Active,2023,11,4,Very High Risk,Medium
LN000166,APP18992,Home Loan,520000.0,18.79,360,Debt Consolidation,F,8172.76,2025-04-15,25.51,Active,2025,4,2,Moderate Risk,Large
LN000167,APP01270,Gold Loan,119000.0,17.16,18,Home Purchase,D,7545.32,2025-03-07,12.67,Active,2025,3,1,Low Risk,Medium
LN000168,APP17528,Home Loan,2790000.0,15.35,360,Medical Emergency,C,36060.1,2025-09-20,37.98,Closed,2025,9,3,High Risk,Very Large
LN000169,APP18173,Personal Loan,493000.0,15.2,48,Home Renovation,C,13770.59,2024-01-22,21.72,Active,2024,1,1,Moderate Risk,Medium
LN000170,APP05224,Home Loan,1138000.0,15.85,360,Education,C,15165.77,2024-05-13,18.51,Active,2024,5,2,Low Risk,Very Large
LN000171,APP18119,Business Loan,383000.0,16.69,48,Business Expansion,E,10990.15,2023-08-06,25.17,Closed,2023,8,3,Moderate Risk,Medium
LN000172,APP18526,Business Loan,1319000.0,15.49,36,Home Purchase,C,46040.7,2024-01-12,36.9,Active,2024,1,1,High Risk,Very Large
LN000173,APP10176,Personal Loan,202000.0,15.71,48,Investment,B,5694.78,2025-09-04,4.04,Active,2025,9,3,Low Risk,Medium
LN000174,APP13331,Personal Loan,220000.0,15.84,36,Debt Consolidation,B,7717.18,2025-11-09,18.47,Active,2025,11,4,Low Risk,Medium
LN000175,APP10319,Business Loan,429000.0,15.45,12,Vehicle Purchase,C,38811.97,2024-11-16,25.15,Active,2024,11,4,Moderate Risk,Medium
LN000176,APP15792,Personal Loan,379000.0,17.23,12,Wedding,F,34607.98,2025-01-15,68.07,Closed,2025,1,1,Very High Risk,Medium
LN000177,APP08124,Personal Loan,493000.0,14.91,24,Debt Consolidation,D,23882.84,2024-02-29,18.53,Active,2024,2,1,Low Risk,Medium
LN000178,APP17408,Personal Loan,78000.0,17.85,24,Education,D,3888.43,2023-10-12,9.5,Active,2023,10,4,Low Risk,Small
LN000179,APP19578,Auto Loan,415000.0,15.77,72,Vehicle Purchase,C,13780.29,2023-07-20,12.55,Active,2023,7,3,Low Risk,Medium
LN000180,APP11586,Auto Loan,456000.0,18.31,36,Home Purchase,E,16556.49,2024-04-29,20.93,Active,2024,4,2,Moderate Risk,Medium
LN000181,APP09626,Personal Loan,409000.0,17.18,36,Medical Emergency,D,14618.63,2026-04-21,27.71,Active,2026,4,2,Moderate Risk,Medium
LN000182,APP15339,Business Loan,1534000.0,16.72,24,Medical Emergency,C,75638.21,2024-09-30,94.84,Active,2024,9,3,Very High Risk,Very Large
LN000183,APP04376,Auto Loan,874000.0,18.71,48,Home Renovation,F,25999.14,2025-08-15,42.93,Active,2025,8,3,High Risk,Large
LN000184,APP14131,Business Loan,1524000.0,15.63,36,Medical Emergency,C,53301.35,2023-07-29,54.94,Active,2023,7,3,Very High Risk,Very Large
LN000185,APP01046,Auto Loan,251000.0,18.15,24,Debt Consolidation,E,12549.15,2023-10-05,78.72,Closed,2023,10,4,Very High Risk,Medium
LN000186,APP18065,Personal Loan,376000.0,17.03,12,Medical Emergency,D,34298.34,2024-01-13,66.68,Active,2024,1,1,Very High Risk,Medium
LN000187,APP06112,Business Loan,559000.0,16.2,36,Investment,D,19708.02,2025-03-13,31.73,Active,2025,3,1,Moderate Risk,Large
